20,8
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	1	1	1	1	1	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	1	0	0	0	1	1	1	1	1	1	1	1	1	1	6
6	6	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	6
6	6	1	0	0	2	2	2	2	0	1	1	3	3	3	3	1	0	1	6
6	6	1	0	1	0	0	0	0	0	0	1	4	0	0	0	1	0	1	6
6	6	1	0	1	2	2	2	2	1	1	1	3	3	3	3	1	0	1	6
6	6	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6
6	6	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	6
6	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6
6	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6
5,12
